,AAPL.Adjusted,GOOGL.Adjusted,MSFT.Adjusted,AMZN.Adjusted,META.Adjusted,TSLA.Adjusted,JPM.Adjusted,V.Adjusted,JNJ.Adjusted,WMT.Adjusted
8/31/20,126.9201126,81.47650146,219.9674072,172.5480042,293.2000122,166.1066742,92.46012115,207.985672,143.7677307,133.0186462
9/1/20,131.9756622,82.7539978,221.6645203,174.9559937,295.4400024,158.3500061,92.41399384,209.3199921,141.9965057,141.3916016
9/2/20,129.241333,85.86949921,225.9364777,176.5724945,302.5,149.1233368,93.80750275,212.3908386,144.1613159,141.4777985
9/3/20,118.8941727,81.47550201,211.9404144,168.3999939,291.1199951,135.6666718,93.51217651,205.0129089,140.1503143,138.4696655
9/4/20,118.9728699,79.0605011,208.9656372,164.7310028,282.730011,139.4400024,95.53321838,200.7941132,139.2506714,136.8314972
9/5/20,116.9713001,78.3403759,206.1396065,162.9212532,279.8375092,132.0975018,94.70265388,199.6805534,138.9390602,135.7824821
9/6/20,114.9697304,77.6202507,203.3135757,161.1115036,276.9450073,124.7550011,93.87208939,198.5669937,138.627449,134.7334671
9/7/20,112.9681606,76.9001255,200.487545,159.301754,274.0525055,117.4125004,93.04152489,197.453434,138.3158379,133.6844521
9/8/20,110.9665909,76.18000031,197.6615143,157.4920044,271.1600037,110.0699997,92.21096039,196.3398743,138.0042267,132.635437
9/9/20,115.392662,77.3615036,206.0786591,163.4304962,273.7200012,122.0933304,93.08768463,200.2054749,140.2908936,134.0149841
9/10/20,111.6255875,76.30249786,200.3046417,158.7554932,268.0899963,123.7799988,92.1279068,197.733078,137.6762543,131.0643463
9/11/20,110.1600647,75.78800201,198.9976959,155.8110046,266.6099854,124.2399979,93.27225494,196.8893127,138.4915619,130.9589539
9/12/20,111.2616577,75.67250061,199.4463603,155.5901693,266.4566549,129.4511108,93.70291646,198.295578,138.669632,131.1569468
9/13/20,112.3632507,75.55699921,199.8950246,155.3693339,266.3033244,134.6622238,94.13357798,199.7018433,138.847702,131.3549398
9/14/20,113.4648438,75.4414978,200.343689,155.1484985,266.1499939,139.8733368,94.5642395,201.1081085,139.0257721,131.5529327
9/15/20,113.6418991,76.7559967,203.6305542,157.8065033,272.4200134,149.9199982,91.6203537,201.5103607,139.5318146,131.5912476
9/16/20,110.2879181,75.60449982,199.9925232,153.9049988,263.519989,147.2533264,92.00793457,201.2552643,139.0725861,130.5374146
9/17/20,108.5273132,74.35199738,197.9053345,150.4364929,254.8200073,141.1433258,90.95588684,201.3926239,137.9199371,130.9493561
9/18/20,105.0848083,72.55449677,195.4474945,147.7454987,252.5299988,147.3833313,90.76209259,198.7828369,139.8035736,129.608139
9/19/20,106.1470718,72.20533244,196.1464742,147.8381653,251.0699972,148.1877747,89.82694244,197.0953318,138.5290629,130.1765645
9/20/20,107.2093353,71.85616811,196.8454539,147.9308319,249.6099955,148.992218,88.8917923,195.4078267,137.2545522,130.74499
9/21/20,108.2715988,71.50700378,197.5444336,148.0234985,248.1499939,149.7966614,87.95664215,193.7203217,135.9800415,131.3134155
9/22/20,109.9731674,72.99099731,202.3040771,156.4494934,254.75,141.4100037,86.99687195,196.7715912,135.1459656,132.5013428
9/23/20,105.3602142,70.46949768,195.6425323,149.9929962,249.0200043,126.7866669,85.58490753,191.6795959,135.3615112,130.2787628
9/24/20,106.4421539,71.14299774,198.1784058,150.989502,249.5299988,129.2633362,85.51108551,191.8267975,135.5770264,130.9589539
9/25/20,110.4354477,71.95300293,202.6941986,154.7565002,254.8200073,135.7799988,86.25859833,193.5241089,136.5048218,131.5050201
9/26/20,111.3141098,72.27966817,203.2208811,156.0718333,255.486674,137.3199972,87.086085,194.5281169,136.9577688,131.4986216
9/27/20,112.1927719,72.60633341,203.7475637,157.3871663,256.1533407,138.8599955,87.91357168,195.5321248,137.4107157,131.4922231
9/28/20,113.071434,72.93299866,204.2742462,158.7024994,256.8200073,140.3999939,88.74105835,196.5361328,137.8636627,131.4858246
9/29/20,112.2157059,73.3010025,202.1480255,157.2440033,261.7900085,139.6900024,87.99354553,195.6727448,137.8168335,131.3804474
9/30/20,113.9074554,73.27999878,205.1423035,157.4364929,261.8999939,143.0033264,88.84255219,196.1927185,139.5224304,134.0341034
10/1/20,114.871376,74.39499664,207.2197723,161.0630035,266.6300049,149.386673,89.48857117,199.5088959,138.0604858,137.0709991
10/2/20,111.1632996,72.77999878,201.1044159,156.25,259.9400024,138.363327,90.33759308,197.6545868,137.0483704,134.59935
10/3/20,112.3042399,73.23383331,202.4666392,157.4866689,261.5099996,139.5399933,90.97405497,198.3348185,137.6700134,135.0144857
10/4/20,113.4451803,73.68766785,203.8288625,158.7233378,263.0799967,140.7166595,91.61051687,199.0150503,138.2916565,135.4296214
10/5/20,114.5861206,74.14150238,205.1910858,159.9600067,264.6499939,141.8933258,92.24697876,199.695282,138.9132996,135.8447571
10/6/20,111.3010025,72.5510025,200.8313446,154.9980011,258.6600037,137.9933319,91.29694366,196.6636505,137.0670929,134.7238922
10/7/20,113.1894608,72.95700073,204.6546783,159.7845001,258.1199951,141.7666626,92.88965607,198.6454926,138.5852966,134.9729462
10/8/20,113.0812683,74.17150116,205.3861389,159.5274963,263.7600098,141.9733276,94.79904938,199.1458588,139.5318146,135.4232483
10/9/20,115.0483932,75.52249908,210.4871216,164.3325043,264.4500122,144.6666718,94.25884247,202.7367401,141.4810791,136.7836151
10/10/20,117.484375,76.42483266,212.3045044,166.9371694,268.2166748,145.5888926,94.64382426,202.6582387,141.7528483,137.2530263
10/11/20,119.9203568,77.32716624,214.1218872,169.5418345,271.9833374,146.5111135,95.02880605,202.5797373,142.0246175,137.7224375
10/12/20,122.3563385,78.22949982,215.93927,172.1464996,275.75,147.4333344,95.41378784,202.501236,142.2963867,138.1918488
10/13/20,119.1105652,78.35350037,217.3632507,172.1815033,276.1400146,148.8833313,93.86763,200.460556,139.0351257,140.0886993
10/14/20,119.1990662,78.17199707,215.4125671,168.1855011,271.8200073,153.7666626,93.34604645,198.3805847,138.7914581,137.8948822
10/15/20,118.7269592,77.77349854,214.2422028,166.9324951,266.7200012,149.6266632,94.74316406,195.7806549,137.9386749,138.4600983
10/16/20,117.0647202,78.38500214,214.2422028,163.635498,265.9299927,146.5566711,94.5475769,196.4772797,138.7914581,138.6325531
10/17/20,116.0680339,77.75583394,212.4735921,162.5438334,264.4199931,145.5744476,94.01667023,195.4013214,137.6106466,138.070521
10/18/20,115.0713476,77.12666575,210.7049815,161.4521688,262.9099935,144.5922241,93.48576355,194.3253632,136.429835,137.508489
10/19/20,114.0746613,76.49749756,208.9363708,160.3605042,261.3999939,143.6100006,92.95485687,193.2494049,135.2490234,136.9464569
10/20/20,115.5795441,77.55400085,209.3557587,160.8504944,267.5599976,140.6466675,93.48577118,193.9655914,135.4645996,137.8565521
10/21/20,114.950058,79.29949951,209.5020447,159.246994,278.730011,140.8800049,92.55434418,194.6818237,134.8835449,138.3355408
10/22/20,113.8484344,80.33300018,209.5898438,158.8200073,278.1199951,141.9299927,95.82360077,194.2501373,135.9612732,137.5212555
10/23/20,113.1501083,81.64900208,210.8967743,160.2200012,284.7900085,140.2100067,96.68980408,194.2697296,136.1112061,137.8086395
10/24/20,113.1533864,80.83750153,208.897344,160.2640025,282.2300008,140.1711171,95.89189911,192.6541748,135.7144877,137.2689718
10/25/20,113.1566645,80.02600098,206.8979136,160.3080037,279.6699931,140.1322276,95.09399414,191.03862,135.3177694,136.729304
10/26/20,113.1599426,79.21450043,204.8984833,160.352005,277.1099854,140.093338,94.29608917,189.4230652,134.921051,136.1896362
10/27/20,114.6844788,79.94400024,207.9902954,164.3164978,283.2900085,141.5599976,92.51709747,186.4699249,134.1525574,136.8698273
10/28/20,109.3731842,75.54000092,197.6809998,158.1390076,267.6700134,135.3399963,89.91845703,177.4535217,129.6636505,134.1586761
